Curator Unique Number,Accession Prefix (NPGS),Accession Number -Assigned,Inventory Prefix,Inventory Number,Inventory Suffix,Inventory Type - Lookup Picker,Taxon -Lookup Picker in GRIN,Received Date -received by site,Life Form -Lookup Picker,Level of Improvement -Lookup Picker,Reproductive Uniformity -Lookup Picker,Note (Accession Narrative),Date Collected or Developed,Geography (Collection) -Lookup Picker in GRIN,Geography (Donor)  -Lookup Picker in GRIN,Number Plants Sampled,Collecting or Acquisition Source - List,Environment Description,Associated Species,Collector Verbatim Locality,Elevation (meters),Latitude -decimal degrees,Longitude -decimal degrees,Georeference Datum,Georeference Protocol - Lookup Picker,Note (Accession Source - Collector),Cooperator (Donor) 1 -full record,Cooperator (Donor) 2 -full record,Cooperator (Collector) 1 -full record,Cooperator (Collector) 2 -full record,Cooperator (Collector) 3 -full record,SLOPE,SLOPE Original Value,ASPECT -lookup picker,ASPECT Original Value,SOIL TEXTURE - lookup picker,Soil TEXTURE Original Value,ECOREGION - Lookup picker,Ecoregion Original Value,Inventory Maintenance Policy,Inventory Maintenance Site -W6,Quantity On Hand,Quantity On Hand Units -'count' or 'packet',"Total Weight -gram (if unknown, leave blank)",Hundred Seed Weight -gram,Seed Count Verification (VALUE CLOSE TO ZERO) -Calcuated column,Parent Inventory,GERMS from DONOR (viability),GERMS from DONOR (test date),Note (Inventory),Accession Name (Identifier 1),Accession Name Category (Identifier 1) -Lookup Picker,"Accession Name Cooperator (Identifier 1) -name, organization",Accession Name (Identifier 2),Accession Name Category (Identifier 2) -Lookup Picker,"Accession Name Cooperator (Identifier 2) -name, organization",Accession Name (Identifier 3),Accession Name Category (Identifier 3) -Lookup Picker,"Accession Name Cooperator (Identifier 3) -name, organization",Collector Voucher Number,Voucher Date,Voucher Location (1),Voucher Location (2),Voucher Location (3),"Voucher Collector -name, organization",Note (Voucher)
NA,W6,NA,W6,NA,NA,SD,Clarkia purpurea,NA,NA,Wild material,NA,light purple flower  with a deeper purple tip on the petals ,05-31-2017,"United States, California, Tehama","United States, Idaho, Ada",400,Wild Habitat,NA,Quercus douglasii:Hypericum perforatum:Brodiaea elegans:Avena fatua:Trifolium sp.,Sub Unit Description  BLM area  Geology Description   Dirt road off Bend Ferry Road  Locality Description  From Redding field office  drive south on I5  take Jelly s Ferry exit and turn left  Turn right onto Bend Ferry road and travel for about 4 miles  Once you enter the recreational area  go through the second unmarked gate on the right  Travel for about a mile on the dirt road through the unmarked gate  Clarkia population is scattered all along the right side among the grasses ,145.6944,40.28221,-122.17199,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,3,-3,North,N,Clay loam,Other : Clay Loam,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,05-18-2017,Smithsonian,Chico State Herbarium,NA,"Steve Laymon, Wildlife ecologist at Redding BLM office",In Field
NA,W6,NA,W6,NA,NA,SD,Festuca californica,NA,NA,Wild material,NA,Spikelets come off opposite ,06-22-2017,"United States, California, Shasta","United States, Idaho, Ada",200,Wild Habitat,NA,Pinus ponderosa:Acer macrophyllum:Cercis occidentalis:Cercis occidentalis:Toxicodendron diversilobum:Lathyrus sulphureus:Pinus sabiniana,Sub Unit Description  Chappie Shasta Recreational Area  Geology Description   OHV Trail 27  Locality Description  From Redding field office  take I5 north and follow exit signs for 299W  Once on 299W  turn right onto Trinity Mountain road  signs say French Gulch  Follow road past the town of French Gulch and county park and take right turn onto E Fork Road  East Fork Road will lead to trail 27  CA fescue population is about 5 miles up trail under the canopy of a pine stand ,1062.228,40.79111,-122.5475,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,10,10,Northeast,NE,Clay,Clay,Custom Category,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,05-26-2017,Smithsonian,Chico State Herbarium,NA,"Julie Nelson, USDA Forest Service Shasta-Trinity NF",From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Grindelia camporum,NA,NA,Wild material,NA,Yellow flowers  involucre sticky,06-23-2017,"United States, California, Shasta","United States, Idaho, Ada",158,Wild Habitat,NA,Centaurea solstitialis:Pinus sabiniana:Trifolium hirtum:Trifolium hirtum:Quercus wislizeni:Quercus lobata:Toxicodendron diversilobum,Sub Unit Description  BLM area  Geology Description   Clear Creek Road off highway 273  Locality Description  From Redding field office  head south on I5  take exit S Bonnyview Rd and head west  Take a left onto highway 273  Turn right onto clear creek road  Head down clear creek road for about 5 miles and pass honey bee trail head  Grindelia population is about 1 mile past honey bee trail head on left hand side  Population starts in open patch about 200ft off the road ,166.4208,40.49944,-122.45805,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,1,1,East,E,Clay loam,Other : Clay Loam,Custom Category,Central California Foothills and Coastal Mountains (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,05-28-2017,Smithsonian,Chico State Herbarium,NA,"Julie Nelson, USDA forest service, Shasta-Trinity NF",From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Eriophyllum lanatum var. achillaeoides,NA,NA,Wild material,NA,Flowers yellow  leaves woolly and margins curled under  Peduncle near flower head swollen ,07-06-2017,"United States, California, Trinity","United States, Idaho, Ada",204,Wild Habitat,NA,Pinus sabiniana:Arctostaphylos manzanita:Quercus kelloggii:Penstemon azureus:Cryptantha flaccida:Phacelia heterophylla:Eriogonum nudum,Sub Unit Description  BLM area  Geology Description   Mainline Rd  in Grass Valley Creek  Locality Description  Head north on I5  Take roads leading to 299W  Head on 299W  pass Buckhorn Summit  first turn after Grass Valley reservoir trailhead  If you reach Shingle Shanty sign  you have gone too far  Once you turn left off of 299W you reach a gate  use a key to open gate  travel down mainline road  go through another BLM gate  Woolly sunflower population starts on left along hillsides ,902.2080000000001,40.62194,-122.74777,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,37,37,East,E,Sandy loam,Other : Sandy Loam,Custom Category,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,05-27-2017,Smithsonian,Chico State Herbarium,NA,"Julia Nelson, USDA Forest Service Shasta-Trinity NF",From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Eriodictyon californicum,NA,NA,Wild material,NA,white to light purple flower  sticky leaves,07-18-2017,"United States, California, Butte","United States, Idaho, Ada",50,Wild Habitat,Logged,Arctostaphylos patula:Pinus sabiniana:Navarretia sp.:Ceanothus cuneatus:Umbellularia californica:Quercus chrysolepis:Salvia sonomensis:Monardella breweri,Sub Unit Description  Sierra Pacific Industries Land  Geology Description   Garland Road  Locality Description  Head on I5 south  from Airport exit  24 miles  Take exit CA 99S head south for 41 miles to 32 east  Follow 32 east till you reach Garland Road on the right  Take Garland Road for about 7 miles  Population starts on left in an open area ,901.9032000000001,39.90165,-121.63596,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,0,0,East,E,Loam,Other : Loam,Sierra Nevada,Sierra Nevada (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,07-18-2017,Smithsonian,Chico State Herbarium,NA,"Kendra Fallon, Redding BLM ecologist",From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Monardella breweri,NA,NA,Wild material,NA,Violet purple flower with small darker dots on petals  Bracts are maroon to green  ûvariety  lanceolata,07-11-2017,"United States, California, Butte","United States, Idaho, Ada",600,Wild Habitat,Burned:Logged,Arctostaphylos patula:Pinus sabiniana:Navarretia sp.:Ceanothus cuneatus:Umbellularia californica:Quercus chrysolepis:Salvia sonomensis,Sub Unit Description  BLM and Sierra Pacific Industries Area  Geology Description   Garland Rd   Locality Description  From Redding FO head on I5 south for about 25 miles  Take exit CA 99S  head south for 41 miles to exit 32 east  Follow 32E till you reach Garland Road on right  about 15 miles  Take Garland road for about 7 miles  Population is in open canopy among large Salvia sp  population on left side of dirt road ,901.9032000000001,39.90165,-121.63596,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,40,40,East,E,Loam,Other : Loam,Sierra Nevada,Sierra Nevada (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,06-26-2017,Smithsonian,Chico State herbarium,NA,"Julie Nelson, USDA Forest Service Shasta-Trinity NF",From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Monardella breweri,NA,NA,Wild material,NA,Purple flower with deeper purple dots on lower petals  Bracts are reddish on tips  ûvariety  lanceolata,07-07-2017,"United States, California, Shasta","United States, Idaho, Ada",638,Wild Habitat,NA,Toxicodendron diversilobum:Notholithocarpus densiflorus:Cercis occidentalis:Eriodictyon californicum:Ceanothus x arcuatus:Eriogonum sp.:Monardella sheltonii,Sub Unit Description  Chappie Shasta Recreational Area  Geology Description   Trail 27  Locality Description  From Redding FO  head north on I5 and take exits leading to 299W  Once on 299W turn right on French Gulch Rd   and continue straight until you reach E Fork Road  turn right  Road will end in Chappie Shasta area follow dirt road until you reach trail 27  Population will be along roadside ,576.9864,40.77341,-122.55238,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,50,50,Northwest,NW,Sandy clay loam,Other : Sandy Clay Loam,Custom Category,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,06-22-2017,Smithsonian,Chico State Herbarium,NA,"Julie Nelson, USDA Forest Service Shasta-Trinity NF",From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Achillea millefolium,NA,NA,Wild material,NA,NA,07-26-2017,"United States, California, Siskiyou","United States, Idaho, Ada",220,Wild Habitat,Burned,Eriophyllum lanatum:Eriogonum umbellatum:Frangula californica:Arctostaphylos patula:Poa secunda:Stipa thurberiana:Koeleria macrantha:Artemisia tridentata,Sub Unit Description  Klamath National Forest  Geology Description   Forest Route 42N15  Locality Description  From Redding FO  take I5N  Take exit for highway 97 towards weed  Stay on 97 for about 8 miles  Forest service dirt road is on the right hand side ,1093.9272,41.50553,-122.20337,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,5,5,East,E,Loamy sand,Other : Loamy Sand,Custom Category,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,07-26-2017,Smithsonian. Chico State herbarium,Redding BLM field office,NA,"Twyla Miller, Botanist Shasta-Trinity NF",In Field
NA,W6,NA,W6,NA,NA,SD,Ceanothus integerrimus,NA,NA,Wild material,NA,Flowers ranging from white to lilac,07-09-2017,"United States, California, Shasta","United States, Idaho, Ada",77,Wild Habitat,NA,Arctostaphylos manzanita:Quercus chrysolepis:Pseudotsuga menziesii:Pinus sabiniana:Pinus ponderosa:Lupinus sp.,Sub Unit Description  Chappie Shasta Recreational Area  Geology Description   OHV trail 27  Locality Description  Head north on I5 from Redding field office  Take exits leading to 299W  Once on 299 drive about 15 miles to French Gulch exit  turn right on French Gulch  Follow main road till East Fork Road  turn right  Follow E  Fork Road till you reach Trail 27  Ceanothus scattered among trail ,850.0872,40.78638,-122.54277,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,5,5,Southeast,SE,Sandy loam,Other : Sandy Loam,Custom Category,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,05-26-2017,Smithsonian,Chico State Herbarium,NA,"Julie Nelson, USDA Forest Service Shasta-Trinity NK",From pressed specimen on another date
NA,W6,NA,W6,NA,NA,SD,Eriophyllum lanatum,NA,NA,Wild material,NA,many flower stalks per plant ,07-26-2017,"United States, California, Siskiyou","United States, Idaho, Ada",154,Wild Habitat,Burned,Achillea millefolium:Eriogonum umbellatum:Frangula californica:Arctostaphylos patula:Poa secunda:Stipa thurberiana:Koeleria macrantha:Artemisia tridentata,Sub Unit Description  Klamath National Forest  Geology Description   Forest Route 42N15  Locality Description  From Redding field office  take I5 north  Take exit for highway 97 towards Weed  Follow highway 97 for about 8 miles  forest service road will be on right hand side  Look for a dirt road ,1097.28,41.50588,-122.32153,"NAD83",Lat/lon determined by GPS,Amanda Weiss,"Bureau of Land Management, SOS project",NA,CA360,NA,NA,5,5,East,E,Loamy sand,Other : Loamy sand,Custom Category,Klamath Mountains/California High North Coast Range (Omernik),w6_native,W6,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Collector identifier,NA,,Other or unclassified name,NA,NA,07-26-2017,Smithsonian,Chico State Herbarium,NA,"Twyla Miller, Botanist Shasta-Trinity NF MT. Shasta",In Field
